Time(ms),Distance(km),Latitude,Longitude,Accuracy(m),Altitude(m),Steps,Pace(min/km),Cadence,HeartRate,AbsTime,Used,FixTime(s),StepSensorTime(s),MaxAcc,MinAcc,ElevationGap(m),RR (ms)
0 , 0.000000 , 13.017440 , 77.558137 , 37.69 , 845.10, 0 , 0.00 , 0 , 0, 2020-04-24T19:09:18.827+0530 ,N ,254444156 ,0 , 0.00 , 0.00 , -1.00 , 0
0 , 0.000000 , 13.017630 , 77.558070 , 8.00 , 892.50, 0 , 0.00 , 0 , 0, 2020-04-24T19:09:23.596+0530 ,Y ,254458365 ,0 , 0.00 , 0.00 , 0.00 , 0
4473 , 0.003177 , 13.017658 , 77.558066 , 7.55 , 892.50, 0 , 23.28 , 0 , 150, 2020-04-24T19:09:28.070+0530 ,Y ,254462801 ,0 , 0.00 , 0.00 , 0.00 , 0
7250 , 0.003418 , 13.017659 , 77.558064 , 10.59 , 892.50, 25 , 41.49 , 151 , 142, 2020-04-24T19:09:30.846+0530 ,Y ,254465642 ,9893 , 59.15 , 0.01 , 0.00 , 421
9751 , 0.004340 , 13.017659 , 77.558072 , 15.76 , 844.90, 25 , 42.53 , 151 , 142, 2020-04-24T19:09:33.350+0530 ,Y ,254468144 ,9893 , 59.15 , 0.01 , -47.60 , 421
12600 , 0.007026 , 13.017636 , 77.558079 , 18.13 , 844.90, 25 , 35.45 , 151 , 142, 2020-04-24T19:09:36.197+0530 ,Y ,254470989 ,9893 , 59.15 , 0.01 , 0.00 , 421
15473 , 0.007026 , 13.017627 , 77.558079 , 20.69 , 844.90, 25 , 35.45 , 151 , 142, 2020-04-24T19:09:39.071+0530 ,N ,254473864 ,9893 , 59.15 , 0.01 , -1.00 , 421
17984 , 0.007026 , 13.017679 , 77.558072 , 22.11 , 844.90, 49 , 35.45 , 144 , 149, 2020-04-24T19:09:41.581+0530 ,N ,254476384 ,19861 , 63.86 , 0.00 , -1.00 , 304
21238 , 0.014142 , 13.017699 , 77.558069 , 24.53 , 844.90, 49 , 23.25 , 144 , 149, 2020-04-24T19:09:44.834+0530 ,Y ,254479631 ,19861 , 63.86 , 0.00 , 0.00 , 304
24110 , 0.014142 , 13.017791 , 77.558072 , 24.94 , 844.90, 49 , 23.25 , 144 , 149, 2020-04-24T19:09:47.707+0530 ,N ,254482506 ,19861 , 63.86 , 0.00 , -1.00 , 304
26671 , 0.014142 , 13.017867 , 77.558069 , 20.49 , 844.90, 74 , 23.25 , 150 , 112, 2020-04-24T19:09:50.268+0530 ,N ,254485065 ,29829 , 70.52 , 0.00 , -1.00 , 664
29550 , 0.040399 , 13.017935 , 77.558094 , 19.69 , 845.60, 74 , 10.09 , 150 , 112, 2020-04-24T19:09:53.151+0530 ,Y ,254487950 ,29829 , 70.52 , 0.00 , 0.70 , 664
32816 , 0.043252 , 13.017952 , 77.558114 , 19.89 , 843.50, 74 , 10.18 , 150 , 112, 2020-04-24T19:09:56.413+0530 ,Y ,254491209 ,29829 , 70.52 , 0.00 , -2.10 , 664
35931 , 0.044953 , 13.017963 , 77.558104 , 18.61 , 843.50, 99 , 10.55 , 150 , 99, 2020-04-24T19:09:59.528+0530 ,Y ,254494309 ,39798 , 66.38 , 0.01 , 0.00 , 593
38727 , 0.046056 , 13.017956 , 77.558111 , 17.61 , 843.50, 99 , 27.34 , 150 , 99, 2020-04-24T19:10:02.324+0530 ,Y ,254497115 ,39798 , 66.38 , 0.01 , 0.00 , 593
41535 , 0.047279 , 13.017945 , 77.558112 , 18.49 , 843.50, 99 , 36.20 , 150 , 99, 2020-04-24T19:10:05.131+0530 ,Y ,254499931 ,39798 , 66.38 , 0.01 , 0.00 , 593
44043 , 0.047279 , 13.017929 , 77.558097 , 20.39 , 843.50, 99 , 36.20 , 150 , 99, 2020-04-24T19:10:07.640+0530 ,N ,254502431 ,39798 , 66.38 , 0.01 , -1.00 , 593
46952 , 0.047279 , 13.017923 , 77.558063 , 22.73 , 843.50, 121 , 36.20 , 132 , 102, 2020-04-24T19:10:10.548+0530 ,N ,254505337 ,49767 , 42.63 , 0.01 , -1.00 , 289
49836 , 0.056613 , 13.017894 , 77.558043 , 25.38 , 845.10, 121 , 25.35 , 132 , 102, 2020-04-24T19:10:13.432+0530 ,Y ,254508231 ,49767 , 42.63 , 0.01 , 1.60 , 289
52464 , 0.056613 , 13.017737 , 77.558003 , 28.41 , 845.10, 121 , 25.35 , 132 , 102, 2020-04-24T19:10:16.061+0530 ,N ,254510859 ,49767 , 42.63 , 0.01 , -1.00 , 289
55339 , 0.056613 , 13.017699 , 77.557987 , 28.16 , 845.10, 121 , 25.35 , 132 , 102, 2020-04-24T19:10:18.936+0530 ,N ,254513733 ,49767 , 42.63 , 0.01 , -1.00 , 289
57922 , 0.082671 , 13.017674 , 77.557956 , 26.91 , 845.10, 148 , 10.27 , 162 , 108, 2020-04-24T19:10:21.518+0530 ,Y ,254516313 ,59735 , 34.90 , 0.01 , 0.00 , 562
60765 , 0.082671 , 13.017632 , 77.557955 , 28.22 , 845.10, 148 , 10.27 , 162 , 108, 2020-04-24T19:10:24.361+0530 ,N ,254519158 ,59735 , 34.90 , 0.01 , -1.00 , 562
63657 , 0.082671 , 13.017572 , 77.557971 , 28.97 , 845.10, 148 , 10.27 , 162 , 108, 2020-04-24T19:10:27.256+0530 ,N ,254522054 ,59735 , 34.90 , 0.01 , -1.00 , 562
66525 , 0.100839 , 13.017520 , 77.558013 , 27.28 , 845.10, 176 , 7.44 , 168 , 112, 2020-04-24T19:10:30.122+0530 ,Y ,254524920 ,69704 , 55.04 , 0.02 , 0.00 , 570
69400 , 0.100839 , 13.017416 , 77.558136 , 23.00 , 845.10, 176 , 7.44 , 168 , 112, 2020-04-24T19:10:32.997+0530 ,N ,254527792 ,69704 , 55.04 , 0.02 , -1.00 , 570
72558 , 0.100839 , 13.017340 , 77.558258 , 20.12 , 845.10, 176 , 7.44 , 168 , 112, 2020-04-24T19:10:36.155+0530 ,N ,254530953 ,69704 , 55.04 , 0.02 , -1.00 , 570
75125 , 0.136684 , 13.017312 , 77.558267 , 19.23 , 845.10, 176 , 5.16 , 168 , 112, 2020-04-24T19:10:38.724+0530 ,Y ,254533513 ,69704 , 55.04 , 0.02 , 0.00 , 570
77973 , 0.140021 , 13.017283 , 77.558275 , 19.09 , 845.10, 198 , 6.43 , 132 , 115, 2020-04-24T19:10:41.570+0530 ,Y ,254536359 ,79672 , 34.57 , 0.00 , 0.00 , 523
80842 , 0.140021 , 13.017236 , 77.558288 , 21.44 , 845.10, 198 , 6.43 , 132 , 115, 2020-04-24T19:10:44.440+0530 ,N ,254539232 ,79672 , 34.57 , 0.00 , -1.00 , 523
83725 , 0.140021 , 13.017181 , 77.558317 , 21.90 , 845.10, 198 , 6.43 , 132 , 115, 2020-04-24T19:10:47.326+0530 ,N ,254542117 ,79672 , 34.57 , 0.00 , -1.00 , 523
