Time(ms),Distance(km),Latitude,Longitude,Accuracy(m),Altitude(m),Steps,Pace(min/km),Cadence,HeartRate,AbsTime,Used,FixTime(s),StepSensorTime(s),MaxAcc,MinAcc,ElevationGap(m),RR (ms)
0,0,13.01744,77.558137,37.69,845.1,0,0,0,0, 2020-04-24T19:09:18.827+0530 ,N ,254444156,0,0,0,-1,0
0,0,13.01763,77.55807,8,892.5,0,0,0,0, 2020-04-24T19:09:23.596+0530 ,Y ,254458365,0,0,0,0,0
4473,0.003177,13.017658,77.558066,7.55,892.5,0,23.28,0,150, 2020-04-24T19:09:28.070+0530 ,Y ,254462801,0,0,0,0,0
7250,0.003418,13.017659,77.558064,10.59,892.5,25,41.49,151,142, 2020-04-24T19:09:30.846+0530 ,Y ,254465642,9893,59.15,0.01,0,421
9751,0.00434,13.017659,77.558072,15.76,844.9,25,42.53,151,142, 2020-04-24T19:09:33.350+0530 ,Y ,254468144,9893,59.15,0.01,-47.6,421
12600,0.007026,13.017636,77.558079,18.13,844.9,25,35.45,151,142, 2020-04-24T19:09:36.197+0530 ,Y ,254470989,9893,59.15,0.01,0,421
15473,0.007026,13.017627,77.558079,20.69,844.9,25,35.45,151,142, 2020-04-24T19:09:39.071+0530 ,N ,254473864,9893,59.15,0.01,-1,421
17984,0.007026,13.017679,77.558072,22.11,844.9,49,35.45,144,149, 2020-04-24T19:09:41.581+0530 ,N ,254476384,19861,63.86,0,-1,304
21238,0.014142,13.017699,77.558069,24.53,844.9,49,23.25,144,149, 2020-04-24T19:09:44.834+0530 ,Y ,254479631,19861,63.86,0,0,304
24110,0.014142,13.017791,77.558072,24.94,844.9,49,23.25,144,149, 2020-04-24T19:09:47.707+0530 ,N ,254482506,19861,63.86,0,-1,304
26671,0.014142,13.017867,77.558069,20.49,844.9,74,23.25,150,112, 2020-04-24T19:09:50.268+0530 ,N ,254485065,29829,70.52,0,-1,664
29550,0.040399,13.017935,77.558094,19.69,845.6,74,10.09,150,112, 2020-04-24T19:09:53.151+0530 ,Y ,254487950,29829,70.52,0,0.7,664
32816,0.043252,13.017952,77.558114,19.89,843.5,74,10.18,150,112, 2020-04-24T19:09:56.413+0530 ,Y ,254491209,29829,70.52,0,-2.1,664
35931,0.044953,13.017963,77.558104,18.61,843.5,99,10.55,150,99, 2020-04-24T19:09:59.528+0530 ,Y ,254494309,39798,66.38,0.01,0,593
38727,0.046056,13.017956,77.558111,17.61,843.5,99,27.34,150,99, 2020-04-24T19:10:02.324+0530 ,Y ,254497115,39798,66.38,0.01,0,593
41535,0.047279,13.017945,77.558112,18.49,843.5,99,36.2,150,99, 2020-04-24T19:10:05.131+0530 ,Y ,254499931,39798,66.38,0.01,0,593
44043,0.047279,13.017929,77.558097,20.39,843.5,99,36.2,150,99, 2020-04-24T19:10:07.640+0530 ,N ,254502431,39798,66.38,0.01,-1,593
46952,0.047279,13.017923,77.558063,22.73,843.5,121,36.2,132,102, 2020-04-24T19:10:10.548+0530 ,N ,254505337,49767,42.63,0.01,-1,289
49836,0.056613,13.017894,77.558043,25.38,845.1,121,25.35,132,102, 2020-04-24T19:10:13.432+0530 ,Y ,254508231,49767,42.63,0.01,1.6,289
52464,0.056613,13.017737,77.558003,28.41,845.1,121,25.35,132,102, 2020-04-24T19:10:16.061+0530 ,N ,254510859,49767,42.63,0.01,-1,289
55339,0.056613,13.017699,77.557987,28.16,845.1,121,25.35,132,102, 2020-04-24T19:10:18.936+0530 ,N ,254513733,49767,42.63,0.01,-1,289
57922,0.082671,13.017674,77.557956,26.91,845.1,148,10.27,162,108, 2020-04-24T19:10:21.518+0530 ,Y ,254516313,59735,34.9,0.01,0,562
60765,0.082671,13.017632,77.557955,28.22,845.1,148,10.27,162,108, 2020-04-24T19:10:24.361+0530 ,N ,254519158,59735,34.9,0.01,-1,562
63657,0.082671,13.017572,77.557971,28.97,845.1,148,10.27,162,108, 2020-04-24T19:10:27.256+0530 ,N ,254522054,59735,34.9,0.01,-1,562
66525,0.100839,13.01752,77.558013,27.28,845.1,176,7.44,168,112, 2020-04-24T19:10:30.122+0530 ,Y ,254524920,69704,55.04,0.02,0,570
69400,0.100839,13.017416,77.558136,23,845.1,176,7.44,168,112, 2020-04-24T19:10:32.997+0530 ,N ,254527792,69704,55.04,0.02,-1,570
72558,0.100839,13.01734,77.558258,20.12,845.1,176,7.44,168,112, 2020-04-24T19:10:36.155+0530 ,N ,254530953,69704,55.04,0.02,-1,570
75125,0.136684,13.017312,77.558267,19.23,845.1,176,5.16,168,112, 2020-04-24T19:10:38.724+0530 ,Y ,254533513,69704,55.04,0.02,0,570
77973,0.140021,13.017283,77.558275,19.09,845.1,198,6.43,132,115, 2020-04-24T19:10:41.570+0530 ,Y ,254536359,79672,34.57,0,0,523
80842,0.140021,13.017236,77.558288,21.44,845.1,198,6.43,132,115, 2020-04-24T19:10:44.440+0530 ,N ,254539232,79672,34.57,0,-1,523
83725,0.140021,13.017181,77.558317,21.9,845.1,198,6.43,132,115, 2020-04-24T19:10:47.326+0530 ,N ,254542117,79672,34.57,0,-1,523
86584,0.156728,13.017147,77.558341,21.62,845.7,224,6.52,156,118, 2020-04-24T19:10:50.181+0530 ,Y ,254544973,89640,30.17,0,0.6,687
89430,0.156728,13.017097,77.558368,21.69,845.7,224,6.52,156,118, 2020-04-24T19:10:53.027+0530 ,N ,254547816,89640,30.17,0,-1,687
91947,0.156728,13.017062,77.558381,21.81,845.7,224,6.52,156,118, 2020-04-24T19:10:55.545+0530 ,N ,254550337,89640,30.17,0,-1,687
94469,0.17128,13.01703,77.558403,23.07,845.1,224,10.05,156,118, 2020-04-24T19:10:58.065+0530 ,Y ,254552859,89640,30.17,0,-0.6,687
97318,0.17128,13.016991,77.558435,22.83,845.1,248,10.05,144,119, 2020-04-24T19:11:00.914+0530 ,N ,254555713,99609,35.65,0,-1,500
100478,0.17128,13.016935,77.558476,22.66,845.1,248,10.05,144,119, 2020-04-24T19:11:04.075+0530 ,N ,254558873,99609,35.65,0,-1,500
103331,0.191631,13.01688,77.558511,23.75,845.1,248,8.13,144,119, 2020-04-24T19:11:06.927+0530 ,Y ,254561718,99609,35.65,0,0,500
105827,0.191631,13.016834,77.558539,24.63,845.1,272,8.13,144,117, 2020-04-24T19:11:09.423+0530 ,N ,254564218,109577,29.01,0,-1,492
108619,0.191631,13.016792,77.55857,25.11,845.1,272,8.13,144,117, 2020-04-24T19:11:12.215+0530 ,N ,254567015,109577,29.01,0,-1,492
111801,0.20862,13.016765,77.558615,24.63,845.1,272,8.08,144,117, 2020-04-24T19:11:15.399+0530 ,Y ,254570195,109577,29.01,0,0,492
114979,0.20862,13.016707,77.558657,24.94,845.1,272,8.08,144,117, 2020-04-24T19:11:18.576+0530 ,N ,254573374,109577,29.01,0,-1,492
117861,0.20862,13.016681,77.558685,24.95,845.1,296,8.08,144,119, 2020-04-24T19:11:21.457+0530 ,N ,254576253,119545,29.23,0.01,-1,515
120975,0.225255,13.016648,77.558712,25.63,845.1,296,8.11,144,119, 2020-04-24T19:11:24.572+0530 ,Y ,254579370,119545,29.23,0.01,0,515
123746,0.225255,13.016604,77.558744,26.27,845.1,296,8.11,144,119, 2020-04-24T19:11:27.345+0530 ,N ,254582137,119545,29.23,0.01,-1,515
127429,0.225255,13.016533,77.558797,27.03,845.1,320,8.11,144,119, 2020-04-24T19:11:31.026+0530 ,N ,254585819,129514,35.69,0,-1,500
130940,0.247569,13.016495,77.558846,27,845.1,320,8.15,144,119, 2020-04-24T19:11:34.536+0530 ,Y ,254589332,129514,35.69,0,0,500
133801,0.247569,13.016466,77.558888,27.06,845.1,320,8.15,144,119, 2020-04-24T19:11:37.398+0530 ,N ,254592198,129514,35.69,0,-1,500
136630,0.247569,13.016428,77.558935,29.13,845.1,345,8.15,150,121, 2020-04-24T19:11:40.226+0530 ,N ,254595013,139482,49.39,0.02,-1,257
139829,0.266917,13.016383,77.558983,31.39,845.1,345,8.02,150,121, 2020-04-24T19:11:43.426+0530 ,Y ,254598214,139482,49.39,0.02,0,257
142663,0.266917,13.016337,77.559032,31.45,845.1,345,8.02,150,121, 2020-04-24T19:11:46.260+0530 ,N ,254601058,139482,49.39,0.02,-1,257
145494,0.266917,13.016302,77.559061,29.5,845.1,373,8.02,168,123, 2020-04-24T19:11:49.091+0530 ,N ,254603893,149450,45.37,0,-1,460
148354,0.286533,13.016249,77.559101,29.25,836,373,7.27,168,123, 2020-04-24T19:11:51.950+0530 ,Y ,254606744,149450,45.37,0,-9.1,460
151386,0.286533,13.01619,77.559128,28.87,836,373,7.27,168,123, 2020-04-24T19:11:54.982+0530 ,N ,254609771,149450,45.37,0,-1,460
154321,0.286533,13.016084,77.559115,28.48,836,373,7.27,168,123, 2020-04-24T19:11:57.920+0530 ,N ,254612715,149450,45.37,0,-1,460
157483,0.312109,13.01602,77.559135,27.32,835,399,6.52,156,119, 2020-04-24T19:12:01.081+0530 ,Y ,254615876,159418,25.93,0.01,-1,335
160294,0.312109,13.015959,77.559143,25.71,835,399,6.52,156,119, 2020-04-24T19:12:03.891+0530 ,N ,254618690,159418,25.93,0.01,-1,335
162999,0.312109,13.015915,77.559158,25.18,835,399,6.52,156,119, 2020-04-24T19:12:06.596+0530 ,N ,254621386,159418,25.93,0.01,-1,335
165901,0.33099,13.015853,77.55917,25.28,831,423,6.48,144,117, 2020-04-24T19:12:09.498+0530 ,Y ,254624292,169386,26.55,0.01,-4,507
168734,0.33099,13.015775,77.559192,25.18,831,423,6.48,144,117, 2020-04-24T19:12:12.330+0530 ,N ,254627117,169386,26.55,0.01,-1,507
171601,0.33099,13.015733,77.559207,25.25,831,423,6.48,144,117, 2020-04-24T19:12:15.198+0530 ,N ,254629993,169386,26.55,0.01,-1,507
174776,0.352792,13.015669,77.559241,25.53,830,423,6.4,144,117, 2020-04-24T19:12:18.374+0530 ,Y ,254633172,169386,26.55,0.01,-1,507
